pair_id,n_temps,apelblat_r2,A,B,C,model_rmse,curve_rmse,slope_correlation,holdout_rmse,holdout_apelblat_rmse
Brc1cc(Br)cc(Br)c1||CC(=O)N(C)C,9,0.9998395551176976,3.1496674709804657,-3139.4998119507404,1.0615179270310642,0.43140694077574154,0.44025644982357354,-0.1327386508116129,0.43140694077574154,0.0026045068882581835
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||CC(=O)OCCC(C)C,9,0.9997589828619127,-101.12327080963199,4918.313494781981,14.723632747199,0.471103678217458,0.4573632355388642,0.12805984513845226,0.471103678217458,0.00045413714114480946
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||CCOC(=O)OCC,9,0.9976558217041209,-141.50928507194772,6023.907142626558,21.0671152975879,0.3926794916413223,0.3807604183332083,0.11526759742817462,0.3926794916413223,0.0010743078229187985
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||CCOC(OCC)OCC,9,0.9992518089283167,-87.16407893836674,4749.239394340171,12.286603703124445,0.2123225961079177,0.19911923657327654,0.21409840787966294,0.2123225961079177,0.0019094679978325843
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||Cc1cccc(C)c1,9,0.999245251673126,21.759388524557274,-4128.321108526109,-2.606182132777818,0.41493729673307345,0.41859433032127996,-0.230130794160036,0.41493729673307345,0.005843382905127935
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||Clc1ccccc1,9,0.9965730808790867,-34.05384516586371,1088.08444074716,4.287923341128485,0.43937499830635995,0.448262878146817,-0.002758603924322014,0.43937499830635995,0.0008010102920884417
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1||O=C1CCCC1,13,0.9947263257058077,15.543928377668289,-4229.18231062703,-0.7787569867495576,0.1819783898294378,0.17488871905665937,0.7821902958041445,0.1819783898294378,0.022014666211321362
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1||O=C1CCCCC1,13,0.9951617262688583,-16.428532171986948,-856.9136075057108,2.9654699104856097,0.05638980780740616,0.05065153865438755,-0.7598272721743334,0.05638980780740616,0.009677413617277565
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1||CCCCOC(C)=O,9,0.9887076170905292,363.4462205903004,-19240.77208473697,-53.21105542470883,0.4627858699054005,0.4695802811112939,0.034268185496733966,0.4627858699054005,0.01625078659086933
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1||ClCCCl,16,0.9985648130458837,-350.6491829461367,13259.753027133103,53.364479334915934,0.4076280059218971,0.39014155905623543,-0.3477767644647609,0.4076280059218971,0.009465579217193503
O=[N+]([O-])c1c[nH]cn1||O=C1CCCO1,16,0.999755018162831,-93.46247944890956,2676.7383039966403,14.27250801086648,0.4090998543355171,0.4100616916095147,0.06521845604843178,0.4090998543355171,0.0016737051512940035
