Source,Solute,Solvent,Num_Temps,RMSE_Known,R2_Known,R2_Synthetic,RMSE_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap,Shape_Correlation,Curve_Max_Deviation,Curve_Within_Tolerance,Mean_Signed_Error,Pct_Over_Prediction,Bias_Category,Curve_Position,Category
train,O=c1[nH]cc(F)c(=O)[nH]1,CO,7,0.04438288490041232,0.9508670235472165,0.8895292706749327,0.09427220603403322,0.8943097038143856,0.9297236844390396,0.9996097879817598,0.06562958394050611,True,0.008050846107975336,71.42857142857143,Over,Intersects,Excellent
train,O=c1[nH]cc(F)c(=O)[nH]1,O,9,0.12058300335676513,0.7121198403948634,0.9502147962234477,0.08832744630044015,-0.722070726797059,0.9448089023525756,0.9964607190586362,0.123407094401081,True,-0.09918473100562147,0.0,Under,Below,Good
train,O=c1[nH]cnc2[nH]ncc12,C1CCCCC1,11,0.16335189645089465,0.701332783999637,0.8362167505969684,0.2507340438708201,-0.18946342897058166,0.8501663935044803,0.9995486529433886,0.204409793129523,True,0.1607754301015523,100.0,Over,Above,Good
train,O=c1[nH]cnc2[nH]ncc12,C1COCCO1,11,0.2959283776946052,-0.3731687192933155,0.5587631247699447,0.34655864574004996,-5.067355760856948,0.4640854492864601,0.9967259589749913,0.3835340408068433,True,0.28463713925653117,100.0,Over,Above,Poor
train,O=c1[nH]cnc2[nH]ncc12,CC#N,12,0.03392502501695043,0.9795857882693857,0.9150905869256908,0.14179421216581733,0.8787655988018834,0.9839810166798895,0.99980013391678,0.03549680577948777,True,-0.027312424916256572,8.333333333333332,Under,Intersects,Excellent
train,O=c1[nH]cnc2[nH]ncc12,CC(C)O,12,0.11731988058960786,0.8449445178889367,0.807028325273855,0.26806644084266673,0.4735194111100177,0.8911171636352241,0.9998131416746651,0.19782804357098716,True,0.10497548261408345,100.0,Over,Above,Good
train,O=c1[nH]cnc2[nH]ncc12,CCC(C)=O,12,0.2023520579892956,0.2835877951851835,0.6948409503805668,0.27040134845860003,-2.3534004128816584,0.6304929423973201,0.9990965206206602,0.29021043635399435,True,-0.19374608471867907,0.0,Under,Below,Poor
train,O=c1[nH]cnc2[nH]ncc12,CCCCCCCO,12,0.148601893607929,0.4836364304178663,0.9224465687586023,0.11780537061203768,-2.115958588029996,0.8325400377711374,0.9989162779992752,0.19191041731811165,True,-0.14021353291004382,0.0,Under,Below,Moderate
train,O=c1[nH]cnc2[nH]ncc12,CCCCCCO,12,0.052312898590871855,0.9601737131777575,0.9230828992035153,0.14880947094345026,0.7289111734803058,0.9843163908998164,0.9989696960821269,0.062185055059785554,True,-0.04731946531790584,8.333333333333332,Under,Intersects,Excellent
train,O=c1[nH]cnc2[nH]ncc12,CCCCO,12,0.03254833256919714,0.985257676214212,0.9023585242448473,0.17162327260748508,0.9945696555302584,0.9767036838882935,0.9993941941381805,0.06911597282212245,True,0.01663897976414075,83.33333333333334,Over,Intersects,Excellent
