Feature,Target_Correlation,Abs_Correlation
AUTOCORR2D_80,0.04638262067865062,0.04638262067865062
fr_hdrzine,0.045854262289059124,0.045854262289059124
AUTOCORR2D_178,-0.044716486349586027,0.044716486349586027
AUTOCORR2D_142,0.04333780360261307,0.04333780360261307
fr_Nhpyrrole,0.04325353689671099,0.04325353689671099
fr_Ar_NH,0.04325353689671099,0.04325353689671099
fr_quatN,0.04300421823865733,0.04300421823865733
fr_imidazole,0.04283053688465808,0.04283053688465808
AUTOCORR2D_110,0.04240924131275144,0.04240924131275144
fr_phenol_noOrthoHbond,-0.04023471575075366,0.04023471575075366
PEOE_VSA2,0.0394494280946675,0.0394494280946675
fr_hdrzone,-0.03938933386425903,0.03938933386425903
fr_aryl_methyl,-0.03868678468632841,0.03868678468632841
fr_ketone_Topliss,-0.03855279921778289,0.03855279921778289
fr_Ar_COO,0.038222725527643886,0.038222725527643886
fr_C_O,0.03789427396412932,0.03789427396412932
PEOE_VSA4,-0.03626336202950915,0.03626336202950915
fr_piperdine,0.03579210877076727,0.03579210877076727
AUTOCORR2D_179,0.03578179792493515,0.03578179792493515
fr_phenol,-0.034647266454717864,0.034647266454717864
fr_Ndealkylation1,0.03406880478742443,0.03406880478742443
NumRadicalElectrons,-0.03405789221026512,0.03405789221026512
fr_HOCCN,0.03384473785415077,0.03384473785415077
AUTOCORR2D_148,-0.03333050170552329,0.03333050170552329
AUTOCORR2D_187,0.03331899565675083,0.03331899565675083
PEOE_VSA11,-0.03324025199357735,0.03324025199357735
fr_Imine,-0.03236495927615017,0.03236495927615017
NumAromaticHeterocycles,0.03233972913472053,0.03233972913472053
fr_lactam,0.03216264127291999,0.03216264127291999
AUTOCORR2D_74,-0.032075627533852125,0.032075627533852125
fr_Ar_N,0.03092933177890334,0.03092933177890334
mose_cyc8,-0.030855094840371616,0.030855094840371616
fr_epoxide,0.030058780390025738,0.030058780390025738
fr_urea,0.029032041546443656,0.029032041546443656
fr_SH,0.02854453867181891,0.02854453867181891
NumSpiroAtoms,-0.027838082288889916,0.027838082288889916
fr_isothiocyan,-0.026757634558875112,0.026757634558875112
AUTOCORR2D_133,0.026043315096500163,0.026043315096500163
AUTOCORR2D_57,0.02592356223293307,0.02592356223293307
AUTOCORR2D_140,-0.02536995836567218,0.02536995836567218
NumAliphaticHeterocycles,0.0251526820381183,0.0251526820381183
PEOE_VSA13,-0.02448198386563334,0.02448198386563334
fr_oxime,0.024301873408942617,0.024301873408942617
fr_benzodiazepine,-0.024124732262288204,0.024124732262288204
fr_thiazole,-0.02371018051700328,0.02371018051700328
AUTOCORR2D_188,-0.02369841353716424,0.02369841353716424
fr_thiophene,0.023518144561670864,0.023518144561670864
fr_oxazole,-0.02255555933624364,0.02255555933624364
fr_amidine,0.022424848315756384,0.022424848315756384
AUTOCORR2D_155,0.021617262238835307,0.021617262238835307
fr_barbitur,0.021463459126896022,0.021463459126896022
fr_isocyan,-0.020934289858783296,0.020934289858783296
num_Br,-0.020425767107895097,0.020425767107895097
AUTOCORR2D_171,0.019684357913294898,0.019684357913294898
fr_nitrile,-0.019287384754365304,0.019287384754365304
AUTOCORR2D_164,-0.018906059702701455,0.018906059702701455
fr_Ar_OH,-0.01873527565341582,0.01873527565341582
NumSaturatedRings,-0.01836657356867565,0.01836657356867565
NumHAcceptors,0.01753484519182533,0.01753484519182533
fr_azide,0.01654820126384391,0.01654820126384391
AUTOCORR2D_125,0.0162459746330562,0.0162459746330562
AUTOCORR2D_81,-0.01603753778206075,0.01603753778206075
fr_thiocyan,0.015870224300730942,0.015870224300730942
fr_sulfone,0.015555216311101471,0.015555216311101471
AUTOCORR2D_162,0.01518403013281486,0.01518403013281486
AUTOCORR2D_108,-0.014932633559070516,0.014932633559070516
fr_term_acetylene,-0.01480081285094322,0.01480081285094322
fr_sulfide,0.014336573030762571,0.014336573030762571
AUTOCORR2D_117,0.014272063402221685,0.014272063402221685
num_Se,0.01418911985826433,0.01418911985826433
AUTOCORR2D_186,0.014166089835899062,0.014166089835899062
PEOE_VSA14,0.013935281852675814,0.013935281852675814
num_P,-0.013706465985075918,0.013706465985075918
fr_methoxy,-0.013286145429843126,0.013286145429843126
fr_morpholine,0.01273153759840537,0.01273153759840537
fr_furan,0.012123152873799984,0.012123152873799984
fr_piperzine,0.012042721409967769,0.012042721409967769
num_I,-0.011669156476251512,0.011669156476251512
fr_NH0,-0.011574470154680137,0.011574470154680137
AUTOCORR2D_154,-0.0115236653717343,0.0115236653717343
NumAtomStereoCenters,-0.010975270228894012,0.010975270228894012
NumUnspecifiedAtomStereoCenters,-0.010975270228894012,0.010975270228894012
num_B,-0.010458064772194332,0.010458064772194332
fr_tetrazole,-0.01011840833743663,0.01011840833743663
fr_imide,-0.00986540757680573,0.00986540757680573
fr_Ndealkylation2,0.009537240912779599,0.009537240912779599
num_Ca,0.008897492795953843,0.008897492795953843
AUTOCORR2D_124,-0.008781053182612953,0.008781053182612953
mose_cyc7,0.008610803870827804,0.008610803870827804
fr_N_O,-0.007840318670460443,0.007840318670460443
AUTOCORR2D_109,0.007663323403052629,0.007663323403052629
fr_phos_ester,0.006787357853619184,0.006787357853619184
fr_phos_acid,0.006741877941189573,0.006741877941189573
fr_pyridine,-0.0062585666849726785,0.0062585666849726785
PEOE_VSA5,0.005900311500349129,0.005900311500349129
mose_cyc4,-0.005252522818091941,0.005252522818091941
EState_VSA10,0.004808954416133621,0.004808954416133621
fr_C_S,0.004570121585842544,0.004570121585842544
AUTOCORR2D_58,0.004501955824546262,0.004501955824546262
num_S,0.0037370991621537564,0.0037370991621537564
fr_diazo,0.003491522902775748,0.003491522902775748
NumBridgeheadAtoms,-0.0034001656854904887,0.0034001656854904887
fr_alkyl_halide,-0.0032188182907627876,0.0032188182907627876
fr_alkyl_carbamate,0.0029420755105437676,0.0029420755105437676
