Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
EState_VSA3,-0.321051652181265,6.525836273136029e-179,-0.2857586751891886,1.5204573497217675e-140,0.321051652181265,0.2857586751891886,0.10483778473428507
AUTOCORR2D_40,-0.3206905535037772,1.7163504124047638e-178,-0.4300654268136858,0.0,0.3206905535037772,0.4300654268136858,0.18856456488323636
MACCS_87,-0.31858283340057225,4.724996520457449e-176,-0.30156576498122234,4.5624549631303734e-157,0.31858283340057225,0.30156576498122234,0.10149502173753666
Morgan_366,-0.3147024205100454,1.3025947216941218e-171,-0.27354610529038953,1.7142307067177298e-128,0.3147024205100454,0.27354610529038953,0.09903761347488138
Morgan_875,-0.306667453652688,1.2578060001736418e-162,-0.29417704482882645,3.2639636490517267e-149,0.306667453652688,0.29417704482882645,0.09404492712982349
AUTOCORR2D_41,-0.29300854546691063,5.428925312979566e-148,-0.40639519995009254,1.722114892106193e-295,0.29300854546691063,0.40639519995009254,0.16691393149862932
EState_VSA5,-0.28464391116696713,2.0305917333585384e-139,-0.2286478784888441,2.5808544940961196e-89,0.28464391116696713,0.2286478784888441,0.08276084562977715
MACCS_107,-0.28424565268892765,5.111144860656099e-139,-0.26636060248030224,1.0977456799518212e-121,0.28424565268892765,0.26636060248030224,0.0807955910725544
FpDensityMorgan3,0.2838536569161334,1.266096985719488e-138,0.20214788546089518,8.099211667949625e-70,0.2838536569161334,0.20214788546089518,0.08491950262793946
EState_VSA8,-0.28348491799020004,2.9679838253756455e-138,-0.20038280765084365,1.3021515173169698e-68,0.28348491799020004,0.20038280765084365,0.08065727939108436
Morgan_1011,-0.28136858684888616,3.84693713897622e-136,-0.21704461573830394,1.8664549197378658e-80,0.28136858684888616,0.21704461573830394,0.07916828166533907
BalabanJ,0.2763909908367359,3.0290269819753503e-131,0.34193718748213364,3.333645824404772e-204,0.2763909908367359,0.34193718748213364,0.09741463889675617
AUTOCORR2D_183,-0.27503433311827186,6.282790977450305e-130,-0.3735430174718125,2.2959647426041105e-246,0.27503433311827186,0.3735430174718125,0.11542910357118441
MACCS_103,-0.27095358890263677,5.175238917527629e-126,-0.2453426642045575,5.833456390306344e-103,0.27095358890263677,0.2453426642045575,0.07341584733921913
Morgan_659,-0.26674871639109504,4.7664221106621286e-122,-0.24195686519153164,4.1704138068073527e-100,0.26674871639109504,0.24195686519153164,0.07115487769629658
AUTOCORR2D_95,-0.25314141179837213,1.0505894757816111e-109,-0.4197349669221645,0.0,0.25314141179837213,0.4197349669221645,0.10234958521050808
